@relation adult-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute age numeric
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute fnlwgt numeric
@attribute education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {United-States,Cambodia,England,Puerto-Rico,Canada,Germany,Outlying-US(Guam-USVI-etc),India,Japan,Greece,South,China,Cuba,Iran,Honduras,Philippines,Italy,Poland,Jamaica,Vietnam,Mexico,Portugal,Ireland,France,Dominican-Republic,Laos,Ecuador,Taiwan,Haiti,Columbia,Hungary,Guatemala,Nicaragua,Scotland,Thailand,Yugoslavia,El-Salvador,Trinadad&Tobago,Peru,Hong,Holand-Netherlands}
@attribute income {>50K,<=50K}

@data
0.438356,Private,0.05593,HS-grad,0.533333,Separated,Adm-clerical,Unmarried,White,Female,0,0,0.397959,United-States,<=50K
0.109589,Private,0.188598,HS-grad,0.533333,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,0.346939,United-States,<=50K
0.547945,Federal-gov,0.221139,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,0.397959,United-States,>50K
0.493151,Private,0.0897,HS-grad,0.533333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.377551,United-States,<=50K
0.369863,Private,0.078829,Masters,0.866667,Divorced,Exec-managerial,Unmarried,White,Female,0,0,0.397959,United-States,<=50K
0.328767,State-gov,0.060661,Assoc-voc,0.666667,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.164384,Private,0.176024,Assoc-voc,0.666667,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,0.428571,United-States,<=50K
0.109589,Private,0.013576,Some-college,0.6,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,0.397959,United-States,<=50K
0.013699,Private,0.145795,HS-grad,0.533333,Never-married,Other-service,Own-child,White,Female,0,0,0.295918,United-States,<=50K
0.410959,Private,0.026861,Prof-school,0.933333,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0.436639,0.602041,Honduras,>50K
0.452055,Federal-gov,0.162522,Bachelors,0.8,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,0.55102,United-States,>50K
0.410959,Self-emp-inc,0.066249,HS-grad,0.533333,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,0.602041,United-States,<=50K
0.356164,Private,0.153291,Some-college,0.6,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0.397959,United-States,>50K
0.39726,Private,0.138806,5th-6th,0.133333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.397959,Mexico,<=50K
0.246575,Private,0.029928,Assoc-voc,0.666667,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0.397959,Puerto-Rico,<=50K
0.328767,Private,0.091745,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0.479592,United-States,<=50K
0.178082,Private,0.119437,HS-grad,0.533333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.050131,0,0.397959,United-States,<=50K
0.178082,Private,0.032064,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0.02407,0,0.397959,United-States,<=50K
0.205479,Private,0.191284,7th-8th,0.2,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,0.397959,United-States,<=50K
0.424658,Private,0.093285,HS-grad,0.533333,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.342466,Private,0.070868,Doctorate,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.44898,United-States,>50K
0.164384,Private,0.063374,Some-college,0.6,Divorced,Tech-support,Not-in-family,White,Male,0,0,0.581633,United-States,<=50K
0.260274,Private,0.09729,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.150685,Private,0.116061,Some-college,0.6,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,0.397959,United-States,<=50K
0.493151,Private,0.107008,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.397959,United-States,>50K
0.438356,Self-emp-inc,0.121838,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.5,United-States,>50K
0.109589,Private,0.12795,Some-college,0.6,Never-married,Prof-specialty,Own-child,White,Male,0,0,0.397959,United-States,<=50K
0.027397,Private,0.060597,Some-college,0.6,Never-married,Prof-specialty,Own-child,White,Male,0,0,0.316327,United-States,<=50K
0.191781,Private,0.202177,Bachelors,0.8,Separated,Sales,Own-child,Black,Female,0,0,0.397959,United-States,<=50K
0.164384,Self-emp-not-inc,0.101882,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.704082,United-States,>50K
0.082192,Private,0.135419,Some-college,0.6,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,0.397959,United-States,<=50K
0.849315,Private,0.076377,Some-college,0.6,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,0.193878,United-States,<=50K
0.136986,Private,0.136942,HS-grad,0.533333,Never-married,Other-service,Own-child,White,Male,0,0,0.397959,Mexico,<=50K
0.315068,Private,0.013535,Assoc-acdm,0.733333,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.684932,Private,0.136153,10th,0.333333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.010204,United-States,<=50K
0.013699,Private,0.201946,11th,0.4,Never-married,Other-service,Own-child,White,Female,0,0,0.214286,United-States,<=50K
0.191781,Local-gov,0.07718,7th-8th,0.2,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.013699,Private,0.295129,HS-grad,0.533333,Never-married,Sales,Not-in-family,White,Male,0,0,0.295918,United-States,<=50K
0.479452,Private,0.179453,Bachelors,0.8,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0.397959,Cuba,<=50K
0.39726,Private,0.026713,HS-grad,0.533333,Married-civ-spouse,Other-service,Wife,White,Female,0,0,0.397959,United-States,<=50K
0.575342,Private,0.100278,HS-grad,0.533333,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.479592,United-States,<=50K
0.369863,Private,0.225008,HS-grad,0.533333,Divorced,Craft-repair,Not-in-family,White,Female,0.143441,0,0.397959,United-States,>50K
0.493151,Private,0.226816,HS-grad,0.533333,Divorced,Sales,Own-child,White,Female,0,0,0.346939,United-States,<=50K
0.438356,Local-gov,0.173829,HS-grad,0.533333,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,0.397959,United-States,>50K
0.219178,Private,0.12888,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.5,United-States,<=50K
0.178082,Private,0.028558,9th,0.266667,Never-married,Sales,Not-in-family,White,Male,0,0,0.397959,United-States,<=50K
0.356164,Federal-gov,0.270699,Doctorate,1,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0.5,United-States,>50K
0.547945,Private,0.161429,Assoc-voc,0.666667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.273973,Private,0.18639,Some-college,0.6,Divorced,Craft-repair,Unmarried,White,Female,0,0,0.397959,United-States,<=50K
0.150685,Private,0.13602,Some-college,0.6,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,0.244898,United-States,<=50K
0.178082,Private,0.071625,HS-grad,0.533333,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,0.361111,0.346939,United-States,<=50K
0.232877,Local-gov,0.145346,Bachelors,0.8,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,0.397959,United-States,>50K
0.164384,Local-gov,0.070157,Some-college,0.6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,0.5,United-States,<=50K
0.424658,Self-emp-not-inc,0.121563,Doctorate,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.436639,0.602041,United-States,>50K
0.273973,Private,0.12931,Some-college,0.6,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.479592,United-States,>50K
0.424658,Private,0.107856,Assoc-acdm,0.733333,Divorced,Exec-managerial,Unmarried,White,Female,0,0,0.397959,England,<=50K
0.205479,Federal-gov,0.161044,HS-grad,0.533333,Never-married,Other-service,Own-child,Black,Male,0,0,0.397959,United-States,<=50K
0.808219,Private,0.076001,Masters,0.866667,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.397959,United-States,>50K
0.369863,Private,0.126321,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.150242,0,0.602041,United-States,>50K
0.410959,Self-emp-not-inc,0.092929,Masters,0.866667,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,0.5,United-States,<=50K
0.041096,Private,0.119541,Some-college,0.6,Never-married,Tech-support,Own-child,White,Female,0,0,0.397959,United-States,<=50K
0.164384,Private,0.061903,HS-grad,0.533333,Never-married,Craft-repair,Not-in-family,White,Male,0,0,0.397959,United-States,<=50K
0.205479,Self-emp-inc,0.207397,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0.076881,0,0.397959,United-States,>50K
0,Private,0.198712,10th,0.333333,Never-married,Prof-specialty,Own-child,White,Female,0.340953,0,0.316327,United-States,<=50K
0.178082,Private,0.124024,11th,0.4,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0.397959,United-States,<=50K
0.191781,Local-gov,0.120197,HS-grad,0.533333,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,0.397959,United-States,<=50K
0.342466,Private,0.076342,HS-grad,0.533333,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.09589,Private,0.285307,Bachelors,0.8,Never-married,Sales,Other-relative,White,Male,0,0,0.397959,United-States,<=50K
0.287671,Private,0.036022,Prof-school,0.933333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,United-States,>50K
0.534247,Self-emp-not-inc,0.219584,HS-grad,0.533333,Married-civ-spouse,Other-service,Husband,White,Male,0,0.433196,0.5,Canada,>50K
0.150685,Private,0.248288,Some-college,0.6,Married-civ-spouse,Sales,Wife,White,Female,0.04064,0,0.244898,United-States,<=50K
0.260274,Private,0.061517,HS-grad,0.533333,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,0.397959,United-States,<=50K
0.493151,Private,0.056616,9th,0.266667,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,0.5,United-States,<=50K
0.534247,Self-emp-inc,0.197501,Some-college,0.6,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.5,United-States,<=50K
0.438356,Local-gov,0.125702,Assoc-voc,0.666667,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,0.397959,United-States,>50K
0.520548,Private,0.159783,Some-college,0.6,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.561224,United-States,<=50K
0.068493,Private,0.06136,HS-grad,0.533333,Never-married,Craft-repair,Not-in-family,White,Male,0,0,0.408163,United-States,<=50K
0.054795,Private,0.12743,Some-college,0.6,Never-married,Other-service,Own-child,White,Female,0,0,0.397959,United-States,<=50K
0.315068,Private,0.072376,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.602041,United-States,<=50K
0.178082,Private,0.044049,Bachelors,0.8,Never-married,Exec-managerial,Own-child,Black,Male,0,0,0.397959,Germany,<=50K
0.164384,State-gov,0.173662,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.5,United-States,>50K
0.027397,Private,0.196494,Some-college,0.6,Never-married,Other-service,Own-child,Black,Male,0,0,0.346939,United-States,<=50K
0.410959,Private,0.187136,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,0.397959,United-States,>50K
0.041096,Private,0.067516,Some-college,0.6,Never-married,Adm-clerical,Own-child,White,Female,0,0.394628,0.27551,United-States,<=50K
0.191781,Private,0.069717,Assoc-acdm,0.733333,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0.397959,United-States,>50K
0.246575,Private,0.079475,HS-grad,0.533333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.30137,Private,0.24005,Some-college,0.6,Divorced,Craft-repair,Not-in-family,White,Male,0,0,0.397959,United-States,<=50K
0.150685,Private,0.03894,Assoc-acdm,0.733333,Never-married,Sales,Not-in-family,White,Female,0,0,0.602041,United-States,<=50K
0.09589,Private,0.02108,HS-grad,0.533333,Never-married,Other-service,Not-in-family,White,Female,0,0.4045,0.397959,United-States,<=50K
0.287671,Self-emp-not-inc,0.073824,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0.04386,0,0.346939,United-States,<=50K
0.273973,Private,0.164299,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.5,United-States,<=50K
0.39726,Private,0.090946,Assoc-acdm,0.733333,Divorced,Tech-support,Not-in-family,Black,Female,0,0,0.357143,United-States,<=50K
0.287671,Federal-gov,0.077184,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,Iran,>50K
0.356164,Self-emp-not-inc,0.030314,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.602041,United-States,<=50K
0.136986,Private,0.102445,Assoc-voc,0.666667,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.346939,United-States,<=50K
0.041096,Private,0.014958,Some-college,0.6,Never-married,Sales,Own-child,White,Male,0,0,0.193878,United-States,<=50K
0.438356,Private,0.047329,Some-college,0.6,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,0.397959,United-States,>50K
0.60274,Self-emp-inc,0.036898,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.136986,Private,0.149751,Some-college,0.6,Never-married,Sales,Own-child,White,Female,0,0,0.397959,United-States,<=50K
0.027397,Private,0.206859,Some-college,0.6,Never-married,Other-service,Own-child,White,Male,0,0,0.295918,Mexico,<=50K
0.383562,Private,0.125167,Assoc-voc,0.666667,Never-married,Prof-specialty,Not-in-family,White,Female,0,0.359045,0.397959,United-States,>50K
0.726027,Private,0.063223,Some-college,0.6,Never-married,Tech-support,Other-relative,White,Male,0,0,0.397959,United-States,<=50K
0.191781,Private,0.117853,HS-grad,0.533333,Never-married,Transport-moving,Unmarried,Black,Female,0,0,0.295918,United-States,<=50K
0.068493,Private,0.110763,Some-college,0.6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0.234694,United-States,<=50K
0.260274,Private,0.065204,HS-grad,0.533333,Widowed,Other-service,Unmarried,White,Female,0,0,0.234694,United-States,<=50K
0.643836,Private,0.114741,11th,0.4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.50023,0.397959,United-States,<=50K
0.356164,Private,0.110279,Some-college,0.6,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,0.397959,United-States,<=50K
0.410959,Local-gov,0.117985,Some-college,0.6,Divorced,Adm-clerical,Unmarried,White,Female,0,0,0.377551,Mexico,<=50K
0.232877,Private,0.126253,HS-grad,0.533333,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,0.397959,United-States,<=50K
0.219178,Private,0.102361,Bachelors,0.8,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,0.397959,Philippines,<=50K
0.054795,Private,0.192793,HS-grad,0.533333,Never-married,Craft-repair,Own-child,White,Male,0,0,0.346939,United-States,<=50K
0.479452,Private,0.163417,HS-grad,0.533333,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,0.44898,United-States,>50K
0.424658,Private,0.119144,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.459184,United-States,<=50K
0.082192,Private,0.137364,Bachelors,0.8,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,0.397959,United-States,<=50K
0.739726,Self-emp-not-inc,0.32731,Some-college,0.6,Separated,Sales,Unmarried,Black,Male,0,0.416896,0.010204,United-States,<=50K
0.164384,Private,0.121738,HS-grad,0.533333,Divorced,Craft-repair,Not-in-family,White,Male,0,0,0.602041,United-States,<=50K
0.342466,Private,0.146813,Bachelors,0.8,Separated,Other-service,Other-relative,Black,Male,0,0,0.5,United-States,<=50K
0.69863,Private,0.01768,1st-4th,0.066667,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,0.193878,United-States,<=50K
0.109589,Private,0.163314,HS-grad,0.533333,Never-married,Other-service,Unmarried,White,Female,0,0,0.397959,United-States,<=50K
0.369863,Self-emp-inc,0.044885,Masters,0.866667,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,0.397959,United-States,<=50K
0.150685,Private,0.051707,HS-grad,0.533333,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,0.397959,England,<=50K
0.383562,Self-emp-not-inc,0.128221,Masters,0.866667,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.397959,United-States,>50K
0.260274,Private,0.132348,Some-college,0.6,Divorced,Other-service,Unmarried,White,Female,0,0,0.397959,Mexico,<=50K
0.30137,Federal-gov,0.151587,Assoc-acdm,0.733333,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,0.418367,United-States,<=50K
0.39726,State-gov,0.061357,Masters,0.866667,Widowed,Protective-serv,Unmarried,White,Male,0,0,0.397959,United-States,<=50K
0.013699,Private,0.009198,11th,0.4,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0.153061,United-States,<=50K
0.671233,Local-gov,0.028892,Assoc-voc,0.666667,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,0.193878,United-States,<=50K
0.136986,Private,0.076519,HS-grad,0.533333,Never-married,Other-service,Not-in-family,White,Male,0,0.454545,0.397959,United-States,<=50K
0.150685,State-gov,0.110729,HS-grad,0.533333,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,0.397959,United-States,<=50K
0.465753,Private,0.056897,Some-college,0.6,Married-civ-spouse,Sales,Husband,White,Male,0,0.453857,0.397959,United-States,>50K
0.136986,Private,0.282355,Bachelors,0.8,Never-married,Craft-repair,Not-in-family,White,Male,0,0,0.5,United-States,<=50K
0.150685,State-gov,0.093274,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,United-States,>50K
0.136986,Private,0.164035,HS-grad,0.533333,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,0.244898,United-States,<=50K
0.054795,Private,0.204202,HS-grad,0.533333,Never-married,Craft-repair,Own-child,Black,Male,0,0,0.397959,United-States,<=50K
0.232877,Private,0.320216,HS-grad,0.533333,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,0.397959,United-States,<=50K
0.013699,Private,0.116573,HS-grad,0.533333,Never-married,Other-service,Own-child,White,Male,0,0,0.112245,United-States,<=50K
0.219178,Private,0.016971,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.653061,United-States,<=50K
0.369863,Local-gov,0.114817,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,0.377551,United-States,>50K
0.356164,Private,0.069474,Some-college,0.6,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,0.397959,United-States,<=50K
